City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,yaren,-0.5472,166.916,28.94,70,41,0.85,NR,1702264865
324,surskoye,54.4821,46.7214,-16.89,85,100,3.51,RU,1702264865
325,iquique,-20.2208,-70.1431,20.02,68,100,0.67,CL,1702264865
326,coahuayana de hidalgo,18.7,-103.6583,25.94,67,100,1.24,MX,1702264865
327,hasaki,35.7333,140.8333,16.27,66,55,2.64,JP,1702264580
328,khandyga,62.6667,135.6,-32.45,95,100,0.83,RU,1702264866
329,luanda,-8.8368,13.2343,25.0,89,100,1.03,AO,1702264866
330,ponta delgada,37.7333,-25.6667,18.44,88,40,5.14,PT,1702264866
331,baise city,23.8997,106.6133,26.05,71,85,1.51,CN,1702264866
332,bubaque,11.2833,-15.8333,28.14,61,100,4.04,GW,1702264866
333,villa gesell,-37.2639,-56.973,18.36,86,0,4.37,AR,1702264866
334,nogliki,51.8333,143.1667,-19.81,86,54,5.81,RU,1702264866
335,urengoy,65.9667,78.3667,-29.01,93,100,3.33,RU,1702264866
336,lompoc,34.6391,-120.4579,13.21,63,0,1.54,US,1702264867
337,ubud,-8.5098,115.2654,28.66,59,100,2.52,ID,1702264867
338,zhangjiakou,40.81,114.8794,-5.19,84,95,1.25,CN,1702264867
339,vrangel',42.7297,133.0839,-8.66,38,100,5.15,RU,1702264867
340,mandalgovi,45.7625,106.2708,-15.04,88,100,2.69,MN,1702264867
341,kaka,37.3482,59.6143,11.99,34,73,0.73,TM,1702264867
342,charlestown,-32.95,151.6667,31.68,62,5,2.68,AU,1702264867
343,aksaray,38.3726,34.0254,6.12,71,100,0.95,TR,1702264868
344,sitka,57.0531,-135.33,3.94,70,75,3.6,US,1702264868
345,ocean shores,46.9737,-124.1563,9.45,98,100,2.06,US,1702264710
346,lucapa,-8.4192,20.7447,18.98,95,100,0.82,AO,1702264868
347,acapulco de juarez,16.8634,-99.8901,27.9,83,100,2.06,MX,1702264865
348,tura,25.5198,90.2201,19.79,52,0,0.26,IN,1702264868
349,geraldton,-28.7667,114.6,33.23,11,0,8.23,AU,1702264614
350,sinabang,2.4803,96.3801,26.33,84,100,1.46,ID,1702264703
351,revda,56.801,59.9303,-35.58,100,67,1.18,RU,1702264625
352,megion,61.0296,76.1136,-38.99,99,8,1.66,RU,1702264869
353,pyhajarvi,67.0701,27.2176,-14.58,97,98,1.97,FI,1702264869
354,antsiranana,-12.2787,49.2917,25.42,83,20,4.12,MG,1702264869
355,new norfolk,-42.7826,147.0587,21.07,25,11,1.46,AU,1702264869
356,likasi,-10.9814,26.7333,17.45,96,100,0.84,CD,1702264869
357,ketchikan,55.3422,-131.6461,2.99,86,0,1.54,US,1702264869
